Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Generation
1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate,GenZ
2,5.3,3.5,8,4.2,3,2.75,Low,GenZ
3,5.1,3.9,9.2,1.2,4.6,2.67,Low,GenZ
4,6.5,2.1,7.2,1.7,6.5,2.88,Moderate,GenZ
5,8.1,0.6,6.5,2.2,6.6,3.51,High,GenZ
6,6,2.1,8,0.3,7.6,2.85,Moderate,GenZ
7,8,0.7,5.3,5.7,4.3,3.08,High,GenZ
8,8.4,1.8,5.6,3,5.2,3.2,High,GenZ
9,5.2,3.6,6.3,4,4.9,2.82,Low,GenZ
10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate,GenZ
11,9.7,3.6,8,2.5,0.2,3.43,High,GenZ
12,6.9,1.1,9.1,2.1,4.8,2.97,Moderate,GenZ
13,6.4,2.2,5.7,4.8,4.9,2.82,High,GenZ
14,5,3.3,8.5,4.4,2.8,2.87,Low,GenZ
15,8.9,0.3,6.8,0.7,7.3,3.4,High,GenZ
16,6.7,0.3,6.6,2,8.4,3.2,Moderate,GenZ
17,8.6,2.6,9.4,1.6,1.8,3.36,High,GenZ
18,8.8,2.2,8.9,2,2.1,3.19,High,GenZ
19,7.6,1.7,5.1,0.6,9,3.16,High,GenZ
20,6.6,2,9.5,1.5,4.4,2.93,Moderate,GenZ
21,7.1,3,6.1,0.5,7.3,2.9,Moderate,GenZ
22,9.6,3.2,8.2,2.6,0.4,3.34,High,GenZ
23,9,0.7,9.5,2.6,2.2,3.21,High,GenZ
24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate,GenZ
25,5,2,7.1,1.3,8.6,2.68,Low,GenZ
26,9.7,1.3,7.6,3.8,1.6,3.29,High,GenZ
27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate,GenZ
28,6.4,0.1,8,3,6.5,2.95,Moderate,GenZ
29,5.3,1.1,9.5,1.4,6.7,2.79,Low,GenZ
30,9.9,1,8.4,3.6,1.1,3.25,High,GenZ
31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate,GenZ
32,5.5,3.3,6.6,1.1,7.5,3.26,Low,GenZ
33,5.2,2.4,8.4,0.1,7.9,2.47,Low,GenZ
34,8.2,0.7,8.5,2.3,4.3,3.24,High,GenZ
35,9.7,0.6,6.7,0.7,6.3,3.62,High,GenZ
36,9.1,2.2,7.6,1.2,3.9,3.12,High,GenZ
37,5.5,3.6,9.5,3.4,2,2.58,Low,GenZ
38,8.6,3.6,9.4,1.9,0.5,3.03,High,GenZ
39,8.2,0.3,5.8,5.4,4.3,3.29,High,GenZ
